"Method","Name","Error","Occurrences"
"GET","/about","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88910630>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",477
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88beb2e8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",156
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=los+angeles&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e888ef978>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",178
"GET","/","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0807978>: Failed to establish a new connection: [Errno 110] Connection timed out',))",68
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Los+Angeles+Daily+News+Negatives (Caused by SSLError(OSError(24, 'Too many open files'),))",49
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Connell+%28Will%29+Papers (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c20978>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",138
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0531da0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",3
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea08570b8>: Failed to establish a new connection: [Errno 110] Connection timed out',))",7
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/fm2q1000zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0aa22b0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",10
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by SSLError(OSError(24, 'Too many open files'),))",52
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=poppy&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0f5b278>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88cb6240>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",141
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bgenre_sim%5D%5B%5D=cellulose+nitrate+film (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e889a7a58>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",144
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/nj2bh100zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e894170f0>: Failed to establish a new connection: [Errno 24] Too many open files',))",15
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0e0a0f0>: Failed to establish a new connection: [Errno 24] Too many open files',))",8
"GET","/about","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))",4
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=poppy&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8853cbe0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",155
"GET","/about","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c65b00>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",423
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/mt2w6200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e73ff2588>: Failed to establish a new connection: [Errno 24] Too many open files',))",12
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea02dc390>: Failed to establish a new connection: [Errno 24] Too many open files',))",6
"GET","Browse Facets","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",26
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by SSLError(OSError(24, 'Too many open files'),))",49
"GET","/","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8899d358>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",1513
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0bdfbe0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",3
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Blocation_sim%5D%5B%5D=California (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea045ad68>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by SSLError(OSError(24, 'Too many open files'),))",44
"GET","/","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",36
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88abe1d0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",152
